#rep	gen	Y	X	TEs	silenced	denovo
1	0	1	1	10	n	n
1	0	1	2	10	n	n
1	0	1	3	0	n	n
1	0	1	4	0	n	n
1	0	1	5	0	n	n
1	0	1	6	0	n	n
1	0	1	7	0	n	n
1	0	1	8	0	n	n
1	0	1	9	0	n	n
1	0	1	10	0	n	n
1	0	1	11	0	n	n
1	0	1	12	0	n	n
1	0	1	13	0	n	n
1	0	1	14	0	n	n
1	0	1	15	0	n	n
1	0	1	16	0	n	n
1	0	1	17	0	n	n
1	0	1	18	0	n	n
1	0	1	19	0	n	n
1	0	1	20	0	n	n
1	0	1	21	0	n	n
1	0	1	22	0	n	n
1	0	1	23	0	n	n
1	0	1	24	0	n	n
1	0	1	25	0	n	n
1	0	1	26	0	n	n
1	0	1	27	0	n	n
1	0	1	28	0	n	n
1	0	1	29	0	n	n
1	0	1	30	0	n	n
1	0	1	31	0	n	n
1	0	1	32	0	n	n
1	0	1	33	0	n	n
1	0	1	34	0	n	n
1	0	1	35	0	n	n
1	0	1	36	0	n	n
1	0	1	37	0	n	n
1	0	1	38	0	n	n
1	0	1	39	0	n	n
1	0	1	40	0	n	n
1	0	1	41	0	n	n
1	0	1	42	0	n	n
1	0	1	43	0	n	n
1	0	1	44	0	n	n
1	0	1	45	0	n	n
1	0	1	46	0	n	n
1	0	1	47	0	n	n
1	0	1	48	0	n	n
1	0	1	49	0	n	n
1	0	1	50	0	n	n
1	0	2	1	10	n	n
1	0	2	2	10	n	n
1	0	2	3	0	n	n
1	0	2	4	0	n	n
1	0	2	5	0	n	n
1	0	2	6	0	n	n
1	0	2	7	0	n	n
1	0	2	8	0	n	n
1	0	2	9	0	n	n
1	0	2	10	0	n	n
1	0	2	11	0	n	n
1	0	2	12	0	n	n
1	0	2	13	0	n	n
1	0	2	14	0	n	n
1	0	2	15	0	n	n
1	0	2	16	0	n	n
1	0	2	17	0	n	n
1	0	2	18	0	n	n
1	0	2	19	0	n	n
1	0	2	20	0	n	n
1	0	2	21	0	n	n
1	0	2	22	0	n	n
1	0	2	23	0	n	n
1	0	2	24	0	n	n
1	0	2	25	0	n	n
1	0	2	26	0	n	n
1	0	2	27	0	n	n
1	0	2	28	0	n	n
1	0	2	29	0	n	n
1	0	2	30	0	n	n
1	0	2	31	0	n	n
1	0	2	32	0	n	n
1	0	2	33	0	n	n
1	0	2	34	0	n	n
